dataset,modo,threads,schedule,chunk,block,rep,iters,sse_final,time_ms,median_ms,h2d_ms,kernel_ms,d2h_ms,total_ms
p,seq,1,NA,NA,NA,1,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,2,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,3,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,4,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,5,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,0,NA,NA,NA,0.1,NA,NA,NA,NA
m,seq,1,NA,NA,NA,1,3,33447.299806,1.9,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,2,3,33447.299806,1.8,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,3,3,33447.299806,1.8,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,4,3,33447.299806,1.8,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,5,3,33447.299806,1.8,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,0,NA,NA,NA,1.8,NA,NA,NA,NA
g,seq,1,NA,NA,NA,1,3,333373.975493,36.1,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,2,3,333373.975493,39.6,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,3,3,333373.975493,35.0,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,4,3,333373.975493,31.8,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,5,3,333373.975493,31.7,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,0,NA,NA,NA,35.0,NA,NA,NA,NA
p,cuda,NA,NA,NA,128,1,3,3307.377030,NA,NA,0.131,76.704,0.623,270.5
p,cuda,NA,NA,NA,128,2,3,3307.377030,NA,NA,0.079,0.689,0.411,128.7
p,cuda,NA,NA,NA,128,3,3,3307.377030,NA,NA,0.154,0.750,0.613,131.1
p,cuda,NA,NA,NA,128,4,3,3307.377030,NA,NA,0.118,0.826,0.457,127.9
p,cuda,NA,NA,NA,128,5,3,3307.377030,NA,NA,0.083,0.526,0.377,132.0
p,cuda,NA,NA,NA,128,0,NA,NA,NA,131.1,NA,NA,NA,131.1
p,cuda,NA,NA,NA,256,1,3,3307.377030,NA,NA,0.079,0.578,0.361,132.3
p,cuda,NA,NA,NA,256,2,3,3307.377030,NA,NA,0.159,1.033,0.546,134.6
p,cuda,NA,NA,NA,256,3,3,3307.377030,NA,NA,0.109,0.561,0.351,137.7
p,cuda,NA,NA,NA,256,4,3,3307.377030,NA,NA,0.100,0.635,0.443,142.4
p,cuda,NA,NA,NA,256,5,3,3307.377030,NA,NA,0.179,0.919,0.677,155.1
p,cuda,NA,NA,NA,256,0,NA,NA,NA,137.7,NA,NA,NA,137.7
p,cuda,NA,NA,NA,512,1,3,3307.377030,NA,NA,0.113,0.869,0.384,133.7
p,cuda,NA,NA,NA,512,2,3,3307.377030,NA,NA,0.094,0.726,0.440,131.3
p,cuda,NA,NA,NA,512,3,3,3307.377030,NA,NA,0.077,0.544,0.356,130.6
p,cuda,NA,NA,NA,512,4,3,3307.377030,NA,NA,0.108,0.534,0.387,125.5
p,cuda,NA,NA,NA,512,5,3,3307.377030,NA,NA,0.120,0.839,0.393,126.0
p,cuda,NA,NA,NA,512,0,NA,NA,NA,130.6,NA,NA,NA,130.6
m,cuda,NA,NA,NA,128,1,3,33447.299806,NA,NA,0.185,0.615,1.065,142.8
m,cuda,NA,NA,NA,128,2,3,33447.299806,NA,NA,0.194,0.745,1.153,128.2
m,cuda,NA,NA,NA,128,3,3,33447.299806,NA,NA,0.167,0.748,1.045,133.3
m,cuda,NA,NA,NA,128,4,3,33447.299806,NA,NA,0.217,0.643,1.127,132.5
m,cuda,NA,NA,NA,128,5,3,33447.299806,NA,NA,0.186,0.939,0.858,136.6
m,cuda,NA,NA,NA,128,0,NA,NA,NA,133.3,NA,NA,NA,133.3
m,cuda,NA,NA,NA,256,1,3,33447.299806,NA,NA,0.212,0.711,0.962,133.4
m,cuda,NA,NA,NA,256,2,3,33447.299806,NA,NA,0.222,0.796,1.008,132.8
m,cuda,NA,NA,NA,256,3,3,33447.299806,NA,NA,0.255,0.752,0.922,125.1
m,cuda,NA,NA,NA,256,4,3,33447.299806,NA,NA,0.195,0.703,0.930,130.1
m,cuda,NA,NA,NA,256,5,3,33447.299806,NA,NA,0.172,0.618,1.052,150.7
m,cuda,NA,NA,NA,256,0,NA,NA,NA,132.8,NA,NA,NA,132.8
m,cuda,NA,NA,NA,512,1,3,33447.299806,NA,NA,0.285,0.740,1.197,138.3
m,cuda,NA,NA,NA,512,2,3,33447.299806,NA,NA,0.197,0.681,0.876,132.9
m,cuda,NA,NA,NA,512,3,3,33447.299806,NA,NA,0.255,0.769,1.122,128.9
m,cuda,NA,NA,NA,512,4,3,33447.299806,NA,NA,0.176,0.833,0.939,127.8
m,cuda,NA,NA,NA,512,5,3,33447.299806,NA,NA,0.183,0.634,1.114,134.4
m,cuda,NA,NA,NA,512,0,NA,NA,NA,132.9,NA,NA,NA,132.9
g,cuda,NA,NA,NA,128,1,3,333373.975493,NA,NA,0.885,2.891,5.764,147.0
g,cuda,NA,NA,NA,128,2,3,333373.975493,NA,NA,0.885,2.607,5.633,146.6
g,cuda,NA,NA,NA,128,3,3,333373.975493,NA,NA,0.834,2.642,6.686,151.2
g,cuda,NA,NA,NA,128,4,3,333373.975493,NA,NA,0.879,2.627,6.164,149.1
g,cuda,NA,NA,NA,128,5,3,333373.975493,NA,NA,0.859,2.657,6.747,150.9
g,cuda,NA,NA,NA,128,0,NA,NA,NA,149.1,NA,NA,NA,149.1
g,cuda,NA,NA,NA,256,1,3,333373.975493,NA,NA,1.527,2.992,5.613,165.4
g,cuda,NA,NA,NA,256,2,3,333373.975493,NA,NA,1.203,3.129,7.518,156.3
g,cuda,NA,NA,NA,256,3,3,333373.975493,NA,NA,0.842,2.551,6.413,157.2
g,cuda,NA,NA,NA,256,4,3,333373.975493,NA,NA,0.848,2.655,5.982,145.9
g,cuda,NA,NA,NA,256,5,3,333373.975493,NA,NA,1.085,2.707,5.356,146.1
g,cuda,NA,NA,NA,256,0,NA,NA,NA,156.3,NA,NA,NA,156.3
g,cuda,NA,NA,NA,512,1,3,333373.975493,NA,NA,1.075,2.733,6.899,154.7
g,cuda,NA,NA,NA,512,2,3,333373.975493,NA,NA,0.880,2.480,5.456,148.8
g,cuda,NA,NA,NA,512,3,3,333373.975493,NA,NA,0.815,2.531,5.378,138.9
g,cuda,NA,NA,NA,512,4,3,333373.975493,NA,NA,0.872,2.866,6.507,159.0
g,cuda,NA,NA,NA,512,5,3,333373.975493,NA,NA,0.935,2.928,5.757,149.8
g,cuda,NA,NA,NA,512,0,NA,NA,NA,149.8,NA,NA,NA,149.8
