dataset,modo,threads,schedule,chunk,block,rep,iters,sse_final,time_ms,median_ms,h2d_ms,kernel_ms,d2h_ms,total_ms
p,seq,1,NA,NA,NA,1,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,2,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,3,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,4,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,5,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,0,NA,NA,NA,0.1,NA,NA,NA,NA
m,seq,1,NA,NA,NA,1,3,33447.299806,1.8,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,2,3,33447.299806,1.9,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,3,3,33447.299806,1.8,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,4,3,33447.299806,2.0,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,5,3,33447.299806,1.8,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,0,NA,NA,NA,1.8,NA,NA,NA,NA
g,seq,1,NA,NA,NA,1,3,333373.975493,33.3,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,2,3,333373.975493,33.3,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,3,3,333373.975493,35.4,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,4,3,333373.975493,32.8,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,5,3,333373.975493,32.9,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,0,NA,NA,NA,33.3,NA,NA,NA,NA
p,mpi,1,NA,NA,NA,1,3,3307.377030,0.283,NA,NA,NA,NA,0.283
p,mpi,1,NA,NA,NA,2,3,3307.377030,0.175,NA,NA,NA,NA,0.175
p,mpi,1,NA,NA,NA,3,3,3307.377030,0.376,NA,NA,NA,NA,0.376
p,mpi,1,NA,NA,NA,4,3,3307.377030,0.165,NA,NA,NA,NA,0.165
p,mpi,1,NA,NA,NA,5,3,3307.377030,0.308,NA,NA,NA,NA,0.308
p,mpi,1,NA,NA,NA,0,NA,NA,NA,0.283,NA,NA,NA,0.283
p,mpi,2,NA,NA,NA,1,3,3307.377030,0.286,NA,NA,NA,NA,0.286
p,mpi,2,NA,NA,NA,2,3,3307.377030,0.216,NA,NA,NA,NA,0.216
p,mpi,2,NA,NA,NA,3,3,3307.377030,0.200,NA,NA,NA,NA,0.200
p,mpi,2,NA,NA,NA,4,3,3307.377030,0.190,NA,NA,NA,NA,0.190
p,mpi,2,NA,NA,NA,5,3,3307.377030,0.215,NA,NA,NA,NA,0.215
p,mpi,2,NA,NA,NA,0,NA,NA,NA,0.215,NA,NA,NA,0.215
p,mpi,4,NA,NA,NA,1,3,3307.377030,0.317,NA,NA,NA,NA,0.317
p,mpi,4,NA,NA,NA,2,3,3307.377030,0.249,NA,NA,NA,NA,0.249
p,mpi,4,NA,NA,NA,3,3,3307.377030,0.244,NA,NA,NA,NA,0.244
p,mpi,4,NA,NA,NA,4,3,3307.377030,0.218,NA,NA,NA,NA,0.218
p,mpi,4,NA,NA,NA,5,3,3307.377030,0.252,NA,NA,NA,NA,0.252
p,mpi,4,NA,NA,NA,0,NA,NA,NA,0.249,NA,NA,NA,0.249
p,mpi,8,NA,NA,NA,1,3,3307.377030,0.534,NA,NA,NA,NA,0.534
p,mpi,8,NA,NA,NA,2,3,3307.377030,0.465,NA,NA,NA,NA,0.465
p,mpi,8,NA,NA,NA,3,3,3307.377030,0.379,NA,NA,NA,NA,0.379
p,mpi,8,NA,NA,NA,4,3,3307.377030,0.524,NA,NA,NA,NA,0.524
p,mpi,8,NA,NA,NA,5,3,3307.377030,0.557,NA,NA,NA,NA,0.557
p,mpi,8,NA,NA,NA,0,NA,NA,NA,0.524,NA,NA,NA,0.524
m,mpi,1,NA,NA,NA,1,3,33447.299806,2.407,NA,NA,NA,NA,2.407
m,mpi,1,NA,NA,NA,2,3,33447.299806,2.448,NA,NA,NA,NA,2.448
m,mpi,1,NA,NA,NA,3,3,33447.299806,2.287,NA,NA,NA,NA,2.287
m,mpi,1,NA,NA,NA,4,3,33447.299806,2.338,NA,NA,NA,NA,2.338
m,mpi,1,NA,NA,NA,5,3,33447.299806,2.456,NA,NA,NA,NA,2.456
m,mpi,1,NA,NA,NA,0,NA,NA,NA,2.407,NA,NA,NA,2.407
m,mpi,2,NA,NA,NA,1,3,33447.299806,2.308,NA,NA,NA,NA,2.308
m,mpi,2,NA,NA,NA,2,3,33447.299806,2.191,NA,NA,NA,NA,2.191
m,mpi,2,NA,NA,NA,3,3,33447.299806,1.772,NA,NA,NA,NA,1.772
m,mpi,2,NA,NA,NA,4,3,33447.299806,2.332,NA,NA,NA,NA,2.332
m,mpi,2,NA,NA,NA,5,3,33447.299806,2.134,NA,NA,NA,NA,2.134
m,mpi,2,NA,NA,NA,0,NA,NA,NA,2.191,NA,NA,NA,2.191
m,mpi,4,NA,NA,NA,1,3,33447.299806,1.907,NA,NA,NA,NA,1.907
m,mpi,4,NA,NA,NA,2,3,33447.299806,1.727,NA,NA,NA,NA,1.727
m,mpi,4,NA,NA,NA,3,3,33447.299806,2.291,NA,NA,NA,NA,2.291
m,mpi,4,NA,NA,NA,4,3,33447.299806,1.619,NA,NA,NA,NA,1.619
m,mpi,4,NA,NA,NA,5,3,33447.299806,1.360,NA,NA,NA,NA,1.360
m,mpi,4,NA,NA,NA,0,NA,NA,NA,1.727,NA,NA,NA,1.727
m,mpi,8,NA,NA,NA,1,3,33447.299806,2.364,NA,NA,NA,NA,2.364
m,mpi,8,NA,NA,NA,2,3,33447.299806,2.335,NA,NA,NA,NA,2.335
m,mpi,8,NA,NA,NA,3,3,33447.299806,2.346,NA,NA,NA,NA,2.346
m,mpi,8,NA,NA,NA,4,3,33447.299806,1.960,NA,NA,NA,NA,1.960
m,mpi,8,NA,NA,NA,5,3,33447.299806,1.832,NA,NA,NA,NA,1.832
m,mpi,8,NA,NA,NA,0,NA,NA,NA,2.335,NA,NA,NA,2.335
g,mpi,1,NA,NA,NA,1,3,333373.975493,45.297,NA,NA,NA,NA,45.297
g,mpi,1,NA,NA,NA,2,3,333373.975493,40.475,NA,NA,NA,NA,40.475
g,mpi,1,NA,NA,NA,3,3,333373.975493,45.553,NA,NA,NA,NA,45.553
g,mpi,1,NA,NA,NA,4,3,333373.975493,40.620,NA,NA,NA,NA,40.620
g,mpi,1,NA,NA,NA,5,3,333373.975493,45.760,NA,NA,NA,NA,45.760
g,mpi,1,NA,NA,NA,0,NA,NA,NA,45.297,NA,NA,NA,45.297
g,mpi,2,NA,NA,NA,1,3,333373.975493,26.198,NA,NA,NA,NA,26.198
g,mpi,2,NA,NA,NA,2,3,333373.975493,28.260,NA,NA,NA,NA,28.260
g,mpi,2,NA,NA,NA,3,3,333373.975493,24.692,NA,NA,NA,NA,24.692
g,mpi,2,NA,NA,NA,4,3,333373.975493,28.211,NA,NA,NA,NA,28.211
g,mpi,2,NA,NA,NA,5,3,333373.975493,25.830,NA,NA,NA,NA,25.830
g,mpi,2,NA,NA,NA,0,NA,NA,NA,26.198,NA,NA,NA,26.198
g,mpi,4,NA,NA,NA,1,3,333373.975493,27.124,NA,NA,NA,NA,27.124
g,mpi,4,NA,NA,NA,2,3,333373.975493,18.417,NA,NA,NA,NA,18.417
g,mpi,4,NA,NA,NA,3,3,333373.975493,20.074,NA,NA,NA,NA,20.074
g,mpi,4,NA,NA,NA,4,3,333373.975493,16.979,NA,NA,NA,NA,16.979
g,mpi,4,NA,NA,NA,5,3,333373.975493,27.371,NA,NA,NA,NA,27.371
g,mpi,4,NA,NA,NA,0,NA,NA,NA,20.074,NA,NA,NA,20.074
g,mpi,8,NA,NA,NA,1,3,333373.975493,22.026,NA,NA,NA,NA,22.026
g,mpi,8,NA,NA,NA,2,3,333373.975493,23.510,NA,NA,NA,NA,23.510
g,mpi,8,NA,NA,NA,3,3,333373.975493,17.812,NA,NA,NA,NA,17.812
g,mpi,8,NA,NA,NA,4,3,333373.975493,22.773,NA,NA,NA,NA,22.773
g,mpi,8,NA,NA,NA,5,3,333373.975493,17.552,NA,NA,NA,NA,17.552
g,mpi,8,NA,NA,NA,0,NA,NA,NA,22.026,NA,NA,NA,22.026
