dataset,modo,threads,schedule,chunk,block,rep,iters,sse_final,time_ms,median_ms,h2d_ms,kernel_ms,d2h_ms,total_ms
p,seq,1,NA,NA,NA,1,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,2,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,3,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,4,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,5,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,0,NA,NA,NA,0.1,NA,NA,NA,NA
m,seq,1,NA,NA,NA,1,3,33447.299806,1.8,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,2,3,33447.299806,1.6,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,3,3,33447.299806,1.7,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,4,3,33447.299806,1.7,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,5,3,33447.299806,1.9,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,0,NA,NA,NA,1.7,NA,NA,NA,NA
g,seq,1,NA,NA,NA,1,3,333373.975493,32.9,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,2,3,333373.975493,39.5,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,3,3,333373.975493,33.2,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,4,3,333373.975493,32.2,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,5,3,333373.975493,31.7,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,0,NA,NA,NA,32.9,NA,NA,NA,NA
p,omp,1,static,NA,NA,1,3,3307.377030,0.158,NA,NA,NA,NA,NA
p,omp,1,static,NA,NA,2,3,3307.377030,0.140,NA,NA,NA,NA,NA
p,omp,1,static,NA,NA,3,3,3307.377030,0.126,NA,NA,NA,NA,NA
p,omp,1,static,NA,NA,4,3,3307.377030,0.140,NA,NA,NA,NA,NA
p,omp,1,static,NA,NA,5,3,3307.377030,0.125,NA,NA,NA,NA,NA
p,omp,1,static,NA,NA,0,NA,NA,NA,0.140,NA,NA,NA,NA
p,omp,2,static,NA,NA,1,3,3307.377030,0.859,NA,NA,NA,NA,NA
p,omp,2,static,NA,NA,2,3,3307.377030,0.953,NA,NA,NA,NA,NA
p,omp,2,static,NA,NA,3,3,3307.377030,0.961,NA,NA,NA,NA,NA
p,omp,2,static,NA,NA,4,3,3307.377030,0.595,NA,NA,NA,NA,NA
p,omp,2,static,NA,NA,5,3,3307.377030,1.129,NA,NA,NA,NA,NA
p,omp,2,static,NA,NA,0,NA,NA,NA,0.953,NA,NA,NA,NA
p,omp,4,static,NA,NA,1,3,3307.377030,0.642,NA,NA,NA,NA,NA
p,omp,4,static,NA,NA,2,3,3307.377030,1.075,NA,NA,NA,NA,NA
p,omp,4,static,NA,NA,3,3,3307.377030,0.568,NA,NA,NA,NA,NA
p,omp,4,static,NA,NA,4,3,3307.377030,1.390,NA,NA,NA,NA,NA
p,omp,4,static,NA,NA,5,3,3307.377030,1.105,NA,NA,NA,NA,NA
p,omp,4,static,NA,NA,0,NA,NA,NA,1.075,NA,NA,NA,NA
p,omp,8,static,NA,NA,1,3,3307.377030,0.820,NA,NA,NA,NA,NA
p,omp,8,static,NA,NA,2,3,3307.377030,0.929,NA,NA,NA,NA,NA
p,omp,8,static,NA,NA,3,3,3307.377030,1.100,NA,NA,NA,NA,NA
p,omp,8,static,NA,NA,4,3,3307.377030,1.273,NA,NA,NA,NA,NA
p,omp,8,static,NA,NA,5,3,3307.377030,0.860,NA,NA,NA,NA,NA
p,omp,8,static,NA,NA,0,NA,NA,NA,0.929,NA,NA,NA,NA
p,omp,16,static,NA,NA,1,3,3307.377030,39.490,NA,NA,NA,NA,NA
p,omp,16,static,NA,NA,2,3,3307.377030,46.471,NA,NA,NA,NA,NA
p,omp,16,static,NA,NA,3,3,3307.377030,40.421,NA,NA,NA,NA,NA
p,omp,16,static,NA,NA,4,3,3307.377030,54.873,NA,NA,NA,NA,NA
p,omp,16,static,NA,NA,5,3,3307.377030,45.384,NA,NA,NA,NA,NA
p,omp,16,static,NA,NA,0,NA,NA,NA,45.384,NA,NA,NA,NA
p,omp,1,dynamic,NA,NA,1,3,3307.377030,0.735,NA,NA,NA,NA,NA
p,omp,1,dynamic,NA,NA,2,3,3307.377030,0.763,NA,NA,NA,NA,NA
p,omp,1,dynamic,NA,NA,3,3,3307.377030,0.721,NA,NA,NA,NA,NA
p,omp,1,dynamic,NA,NA,4,3,3307.377030,1.235,NA,NA,NA,NA,NA
p,omp,1,dynamic,NA,NA,5,3,3307.377030,0.689,NA,NA,NA,NA,NA
p,omp,1,dynamic,NA,NA,0,NA,NA,NA,0.735,NA,NA,NA,NA
p,omp,2,dynamic,NA,NA,1,3,3307.377030,2.932,NA,NA,NA,NA,NA
p,omp,2,dynamic,NA,NA,2,3,3307.377030,2.133,NA,NA,NA,NA,NA
p,omp,2,dynamic,NA,NA,3,3,3307.377030,2.568,NA,NA,NA,NA,NA
p,omp,2,dynamic,NA,NA,4,3,3307.377030,2.799,NA,NA,NA,NA,NA
p,omp,2,dynamic,NA,NA,5,3,3307.377030,2.634,NA,NA,NA,NA,NA
p,omp,2,dynamic,NA,NA,0,NA,NA,NA,2.634,NA,NA,NA,NA
p,omp,4,dynamic,NA,NA,1,3,3307.377030,2.834,NA,NA,NA,NA,NA
p,omp,4,dynamic,NA,NA,2,3,3307.377030,2.561,NA,NA,NA,NA,NA
p,omp,4,dynamic,NA,NA,3,3,3307.377030,2.942,NA,NA,NA,NA,NA
p,omp,4,dynamic,NA,NA,4,3,3307.377030,2.550,NA,NA,NA,NA,NA
p,omp,4,dynamic,NA,NA,5,3,3307.377030,2.525,NA,NA,NA,NA,NA
p,omp,4,dynamic,NA,NA,0,NA,NA,NA,2.561,NA,NA,NA,NA
p,omp,8,dynamic,NA,NA,1,3,3307.377030,2.573,NA,NA,NA,NA,NA
p,omp,8,dynamic,NA,NA,2,3,3307.377030,2.501,NA,NA,NA,NA,NA
p,omp,8,dynamic,NA,NA,3,3,3307.377030,2.343,NA,NA,NA,NA,NA
p,omp,8,dynamic,NA,NA,4,3,3307.377030,2.501,NA,NA,NA,NA,NA
p,omp,8,dynamic,NA,NA,5,3,3307.377030,2.295,NA,NA,NA,NA,NA
p,omp,8,dynamic,NA,NA,0,NA,NA,NA,2.501,NA,NA,NA,NA
p,omp,16,dynamic,NA,NA,1,3,3307.377030,46.725,NA,NA,NA,NA,NA
p,omp,16,dynamic,NA,NA,2,3,3307.377030,39.344,NA,NA,NA,NA,NA
p,omp,16,dynamic,NA,NA,3,3,3307.377030,2.818,NA,NA,NA,NA,NA
p,omp,16,dynamic,NA,NA,4,3,3307.377030,46.450,NA,NA,NA,NA,NA
p,omp,16,dynamic,NA,NA,5,3,3307.377030,40.891,NA,NA,NA,NA,NA
p,omp,16,dynamic,NA,NA,0,NA,NA,NA,40.891,NA,NA,NA,NA
m,omp,1,static,NA,NA,1,3,33447.299806,1.781,NA,NA,NA,NA,NA
m,omp,1,static,NA,NA,2,3,33447.299806,1.862,NA,NA,NA,NA,NA
m,omp,1,static,NA,NA,3,3,33447.299806,1.723,NA,NA,NA,NA,NA
m,omp,1,static,NA,NA,4,3,33447.299806,2.371,NA,NA,NA,NA,NA
m,omp,1,static,NA,NA,5,3,33447.299806,1.718,NA,NA,NA,NA,NA
m,omp,1,static,NA,NA,0,NA,NA,NA,1.781,NA,NA,NA,NA
m,omp,2,static,NA,NA,1,3,33447.299806,3.381,NA,NA,NA,NA,NA
m,omp,2,static,NA,NA,2,3,33447.299806,1.848,NA,NA,NA,NA,NA
m,omp,2,static,NA,NA,3,3,33447.299806,2.572,NA,NA,NA,NA,NA
m,omp,2,static,NA,NA,4,3,33447.299806,2.564,NA,NA,NA,NA,NA
m,omp,2,static,NA,NA,5,3,33447.299806,3.088,NA,NA,NA,NA,NA
m,omp,2,static,NA,NA,0,NA,NA,NA,2.572,NA,NA,NA,NA
m,omp,4,static,NA,NA,1,3,33447.299806,2.235,NA,NA,NA,NA,NA
m,omp,4,static,NA,NA,2,3,33447.299806,2.819,NA,NA,NA,NA,NA
m,omp,4,static,NA,NA,3,3,33447.299806,2.797,NA,NA,NA,NA,NA
m,omp,4,static,NA,NA,4,3,33447.299806,2.972,NA,NA,NA,NA,NA
m,omp,4,static,NA,NA,5,3,33447.299806,2.880,NA,NA,NA,NA,NA
m,omp,4,static,NA,NA,0,NA,NA,NA,2.819,NA,NA,NA,NA
m,omp,8,static,NA,NA,1,3,33447.299806,2.498,NA,NA,NA,NA,NA
m,omp,8,static,NA,NA,2,3,33447.299806,2.473,NA,NA,NA,NA,NA
m,omp,8,static,NA,NA,3,3,33447.299806,2.240,NA,NA,NA,NA,NA
m,omp,8,static,NA,NA,4,3,33447.299806,2.249,NA,NA,NA,NA,NA
m,omp,8,static,NA,NA,5,3,33447.299806,2.306,NA,NA,NA,NA,NA
m,omp,8,static,NA,NA,0,NA,NA,NA,2.306,NA,NA,NA,NA
m,omp,16,static,NA,NA,1,3,33447.299806,40.008,NA,NA,NA,NA,NA
m,omp,16,static,NA,NA,2,3,33447.299806,53.950,NA,NA,NA,NA,NA
m,omp,16,static,NA,NA,3,3,33447.299806,40.007,NA,NA,NA,NA,NA
m,omp,16,static,NA,NA,4,3,33447.299806,54.528,NA,NA,NA,NA,NA
m,omp,16,static,NA,NA,5,3,33447.299806,39.580,NA,NA,NA,NA,NA
m,omp,16,static,NA,NA,0,NA,NA,NA,40.008,NA,NA,NA,NA
m,omp,1,dynamic,NA,NA,1,3,33447.299806,7.538,NA,NA,NA,NA,NA
m,omp,1,dynamic,NA,NA,2,3,33447.299806,8.906,NA,NA,NA,NA,NA
m,omp,1,dynamic,NA,NA,3,3,33447.299806,9.169,NA,NA,NA,NA,NA
m,omp,1,dynamic,NA,NA,4,3,33447.299806,7.983,NA,NA,NA,NA,NA
m,omp,1,dynamic,NA,NA,5,3,33447.299806,9.230,NA,NA,NA,NA,NA
m,omp,1,dynamic,NA,NA,0,NA,NA,NA,8.906,NA,NA,NA,NA
m,omp,2,dynamic,NA,NA,1,3,33447.299806,19.984,NA,NA,NA,NA,NA
m,omp,2,dynamic,NA,NA,2,3,33447.299806,20.749,NA,NA,NA,NA,NA
m,omp,2,dynamic,NA,NA,3,3,33447.299806,20.000,NA,NA,NA,NA,NA
m,omp,2,dynamic,NA,NA,4,3,33447.299806,21.559,NA,NA,NA,NA,NA
m,omp,2,dynamic,NA,NA,5,3,33447.299806,22.258,NA,NA,NA,NA,NA
m,omp,2,dynamic,NA,NA,0,NA,NA,NA,20.749,NA,NA,NA,NA
m,omp,4,dynamic,NA,NA,1,3,33447.299806,22.114,NA,NA,NA,NA,NA
m,omp,4,dynamic,NA,NA,2,3,33447.299806,17.257,NA,NA,NA,NA,NA
m,omp,4,dynamic,NA,NA,3,3,33447.299806,13.677,NA,NA,NA,NA,NA
m,omp,4,dynamic,NA,NA,4,3,33447.299806,18.121,NA,NA,NA,NA,NA
m,omp,4,dynamic,NA,NA,5,3,33447.299806,18.260,NA,NA,NA,NA,NA
m,omp,4,dynamic,NA,NA,0,NA,NA,NA,18.121,NA,NA,NA,NA
m,omp,8,dynamic,NA,NA,1,3,33447.299806,15.028,NA,NA,NA,NA,NA
m,omp,8,dynamic,NA,NA,2,3,33447.299806,16.717,NA,NA,NA,NA,NA
m,omp,8,dynamic,NA,NA,3,3,33447.299806,16.760,NA,NA,NA,NA,NA
m,omp,8,dynamic,NA,NA,4,3,33447.299806,15.395,NA,NA,NA,NA,NA
m,omp,8,dynamic,NA,NA,5,3,33447.299806,15.068,NA,NA,NA,NA,NA
m,omp,8,dynamic,NA,NA,0,NA,NA,NA,15.395,NA,NA,NA,NA
m,omp,16,dynamic,NA,NA,1,3,33447.299806,47.038,NA,NA,NA,NA,NA
m,omp,16,dynamic,NA,NA,2,3,33447.299806,40.607,NA,NA,NA,NA,NA
m,omp,16,dynamic,NA,NA,3,3,33447.299806,46.593,NA,NA,NA,NA,NA
m,omp,16,dynamic,NA,NA,4,3,33447.299806,50.752,NA,NA,NA,NA,NA
m,omp,16,dynamic,NA,NA,5,3,33447.299806,64.873,NA,NA,NA,NA,NA
m,omp,16,dynamic,NA,NA,0,NA,NA,NA,47.038,NA,NA,NA,NA
g,omp,1,static,NA,NA,1,3,333373.975493,43.791,NA,NA,NA,NA,NA
g,omp,1,static,NA,NA,2,3,333373.975493,38.949,NA,NA,NA,NA,NA
g,omp,1,static,NA,NA,3,3,333373.975493,38.052,NA,NA,NA,NA,NA
g,omp,1,static,NA,NA,4,3,333373.975493,34.673,NA,NA,NA,NA,NA
g,omp,1,static,NA,NA,5,3,333373.975493,35.897,NA,NA,NA,NA,NA
g,omp,1,static,NA,NA,0,NA,NA,NA,38.052,NA,NA,NA,NA
g,omp,2,static,NA,NA,1,3,333373.975493,20.488,NA,NA,NA,NA,NA
g,omp,2,static,NA,NA,2,3,333373.975493,20.576,NA,NA,NA,NA,NA
g,omp,2,static,NA,NA,3,3,333373.975493,23.089,NA,NA,NA,NA,NA
g,omp,2,static,NA,NA,4,3,333373.975493,20.877,NA,NA,NA,NA,NA
